id_servicio,tipo_cliente,tipo_servicio,plan,velocidad_bajada_mbps,velocidad_subida_mbps,precio_contratado,antiguedad_meses,cantidad_equipos,cantidad_tickets,tickets_abiertos,tickets_criticos,promedio_dias_resolucion,cantidad_facturas,facturas_vencidas,monto_facturado,monto_pagado,saldo_pendiente,dias_atraso_promedio,cantidad_interacciones,cancelo_servicio,probabilidad_cancelacion,prediccion_cancelacion,nivel_riesgo
1,Persona natural,Fibra óptica,Fibra 500 Mbps,500,250,1480,22,2,3,0,0,2.61,18,3,30636.0,24721.71,5914.29,6.17,5,1,0.4074074074074074,0,Medio
2,Persona natural,Cable,Cable 100 Mbps,100,20,736,24,2,8,2,6,9.17,18,8,15235.2,12820.63,2414.57,16.83,9,0,0.3,0,Medio
3,Persona natural,Fibra óptica,Fibra 200 Mbps,200,100,1032,39,2,4,1,2,7.23,18,5,21362.4,19565.62,1796.78,9.44,5,0,0.11382113821138211,0,Bajo
4,Persona natural,Cable,Cable 50 Mbps,50,10,549,34,2,2,0,0,1.03,18,3,11364.3,11072.23,292.07,0.35,3,0,0.0,0,Bajo
5,Persona natural,Cable,Cable 100 Mbps,100,20,720,34,2,2,0,0,1.27,18,6,14904.0,14541.95,362.05,1.39,3,0,0.0,0,Bajo
6,Empresa,Fibra óptica,Fibra 200 Mbps,200,100,1049,38,2,4,0,1,8.05,18,3,21714.3,20948.42,765.88,14.12,2,0,0.0,0,Bajo
7,Persona natural,Cable,Cable 50 Mbps,50,10,556,18,2,4,0,0,4.96,18,6,11509.2,11049.65,459.55,9.84,6,0,0.0,0,Bajo
8,Persona natural,Cable,Cable 100 Mbps,100,20,739,34,2,0,0,0,0.0,18,0,15297.3,15170.14,127.16,1.41,3,0,0.0,0,Bajo
9,Persona natural,Inalámbrico,Inalámbrico 50 Mbps,50,20,669,27,2,1,0,0,8.23,18,4,13848.3,11875.24,1973.06,14.34,6,1,0.3037037037037037,0,Medio
10,Persona natural,Cable,Cable 100 Mbps,100,20,717,45,2,0,0,0,0.0,18,1,14841.9,14646.41,195.49,1.66,1,0,0.0,0,Bajo
